ID,Nom,Valeur,Famille
773443,M. Éric Dupond-Moretti,3350,Centre-gauche
0,Plusieurs députés du groupe RN,3022,Extrême droite
759832,Mme Agnès Pannier-Runacher,1924,Centre-droit
643210,M. Sébastien Lecornu,1174,Centre-droit
429846,M. Christophe Béchu,1174,Centre-droit
331481,M. Bruno Le Maire,1160,Centre-droit
267797,Mme Catherine Vautrin,984,Centre-droit
801862,M. François Braun,670,Centre-droit
801864,M. Jean-Christophe Combe,578,Centre-droit
801866,M. Jean-François Carenco,437,Centre-droit
791652,Mme Amélie Oudéa-Castéra,431,Centre
801870,M. Olivier Klein,290,Centre-gauche
791650,Mme Rima Abdul-Malak,258,Centre
801874,Mme Laurence Boone,254,Centre-gauche
826635,M. Aurélien Rousseau,248,Centre-gauche
791646,M. Pap Ndiaye,231,Centre-gauche
794514,M. Patrice Vergriete,190,Centre-gauche
791648,Mme Sylvie Retailleau,188,Centre-gauche
801872,Mme Sonia Backès,182,Centre-gauche
791656,Mme Charlotte Caubel,154,Centre-gauche
312976,Mme Catherine Colonna,154,Centre
702191,Mme Nicole Belloubet,142,Centre
791658,Mme Chrysoula Zacharopoulou,139,Centre-gauche
387829,Mme Rachida Dati,132,Centre
791654,Mme Isabelle Rome,110,Centre-gauche
833735,M. Stéphane Séjourné,88,Extrême gauche
2150,M. Jean-Luc Mélenchon,53,Extrême droite
606171,M. le président,53,Centre-gauche
719968,Mme Sylvie Bonnet,47,Centre
-121449,M. Pierre Moscovici,44,Gauche
-125629,"M. Lyes Louffok,",26,Centre
796106,M. Édouard Bénard,24,Centre-gauche
429862,Mme Caroline Cayeux,23,Centre-gauche
643048,Mme Virginie Lanlo,22,Centre-gauche
-125249,M. Erwan Lecœur,21,Centre-droit
332747,M. François de Rugy,15,Centre-gauche
717163,Mme Marlène Schiappa,13,Centre
-125649,Mme Lina Chamlal,12,Centre
795688,M. Philippe Emmanuel,12,Centre
-125419,M. Manuel Domergue,12,Centre
-125549,Mme Noémie Ninnin,12,Centre
-125369,M. Philippe Chalmin,11,Centre-gauche
795774,Mme Ingrid Dordain,11,Centre-gauche
-125259,M. Patrick Baudouin,11,Centre-gauche
719190,M. Philippe Frei,11,Centre
-125779,"M. Vincent Ploquin,",10,Centre-gauche
-125619,M. Pierre-Alain Sarthou,10,Centre-gauche
-125529,M. Loïg Chesnais-Girard,10,Centre-gauche
